MCU_linear_response.csvtime,Y4_sat,angle_setpoint
0.326529,0.925742,0.933060
0.327495,0.941869,0.947913
0.328494,0.957500,0.963065
0.329491,0.973409,0.978068
0.330508,0.989893,0.993671
0.331517,1.006157,1.008970
0.332498,1.021574,1.024266
0.333493,1.037074,1.039113
0.334496,1.052652,1.054709
0.335472,1.068150,1.069406
0.336404,1.083568,1.083502
0.337479,1.099060,1.099849
0.338492,1.114475,1.115145
0.339518,1.129668,1.130741
0.340480,1.144949,1.145588
0.341415,1.159872,1.159835
0.342526,1.175341,1.176631
0.343485,1.190323,1.191327
0.344583,1.205273,1.207824
0.345617,1.221526,1.223720
0.346504,1.235696,1.237367
0.347541,1.250448,1.252963
0.348515,1.265342,1.267810
0.349492,1.280392,1.282806
0.350493,1.295008,1.297803
0.351503,1.310080,1.313249
0.352496,1.325319,1.328546
0.353479,1.340133,1.343542
0.354533,1.355117,1.359288
0.355479,1.370273,1.373985
0.356500,1.385304,1.389431
0.357468,1.400505,1.404278
0.358532,1.415578,1.420474
0.359497,1.431269,1.435171
0.360527,1.446530,1.450617
0.361521,1.461656,1.465614
0.362537,1.476496,1.481210
0.363613,1.493744,1.497556
0.364485,1.507102,1.511053
0.365573,1.523011,1.527550
0.366508,1.537730,1.541496
0.367482,1.552751,1.556793
0.368503,1.568072,1.571939
0.369510,1.583085,1.587386
0.370476,1.598244,1.602382
0.371488,1.613552,1.617529
0.372547,1.628854,1.633575
0.373532,1.644750,1.648422
0.374502,1.659444,1.663568
0.375626,1.674578,1.680364
0.376555,1.689713,1.694611
0.377528,1.705139,1.709607
0.378543,1.720261,1.724754
0.379503,1.735533,1.739450
0.380543,1.750955,1.755347
0.381493,1.766227,1.769893
0.382553,1.780901,1.785040
0.383489,1.796023,1.800186
0.384460,1.811146,1.815183
0.385488,1.826418,1.830629
0.386499,1.841690,1.846226
0.387483,1.857112,1.861072
0.388573,1.872385,1.877269
0.389451,1.887220,1.890915
0.390486,1.902354,1.906662
0.391470,1.917489,1.921808
0.392518,1.932773,1.937405
0.393554,1.949119,1.953301
0.394635,1.963816,1.969497
0.395631,1.979112,1.984794
0.396533,1.994259,1.998441
0.397523,2.009105,2.013737
0.398515,2.024402,2.028733
0.399554,2.039548,2.044480
0.400611,2.055595,2.060376
0.401572,2.070741,2.075523
0.402534,2.085438,2.089919
0.403520,2.100734,2.105216
0.404508,2.115581,2.119762
0.405482,2.130727,2.134909
0.406473,2.145874,2.150055
0.407517,2.161470,2.165952
0.408617,2.176767,2.182598
0.409516,2.191913,2.196395
0.410497,2.206910,2.211391
0.411598,2.222356,2.226988
0.412520,2.238702,2.242134
0.413499,2.252499,2.256831
0.414537,2.268245,2.272577
0.415672,2.284464,2.289673
0.416528,2.298734,2.303020
0.417575,2.314054,2.318616
0.418518,2.328925,2.333163
0.419520,2.344245,2.348310
0.420504,2.359266,2.363306
0.421588,2.374887,2.380102
0.422588,2.390208,2.395099
0.423550,2.405205,2.409495
0.424599,2.420351,2.425542
0.425536,2.435498,2.440088
0.426507,2.450794,2.454785
0.427541,2.466240,2.470381
0.428532,2.481237,2.485378
0.429505,2.496083,2.500524
0.430502,2.511980,2.515671
0.431564,2.526826,2.531567
0.432517,2.541973,2.546264
0.433471,2.556969,2.561110
0.434532,2.572116,2.576857
0.435574,2.588162,2.592603
0.436517,2.603009,2.607000
0.437524,2.617855,2.622296
0.438534,2.633302,2.637743
0.439590,2.648448,2.653789
0.440540,2.663745,2.668185
0.441625,2.679191,2.684532
0.442708,2.695987,2.701178
0.443575,2.710534,2.714525
0.444514,2.724331,2.728921
0.445586,2.740227,2.744818
0.446742,2.756873,2.762214
0.447697,2.770670,2.776760
0.448571,2.785217,2.789807
0.449645,2.801113,2.805854
0.450654,2.816859,2.821750
0.451610,2.831556,2.836147
0.452604,2.847152,2.851743
0.453799,2.862149,2.869289
0.455371,2.878645,2.893133
0.455951,2.898290,2.902881
0.456665,2.907138,2.912479
0.457619,2.922585,2.928075
0.458616,2.937731,2.942772
0.459547,2.952578,2.957618
0.460492,2.968024,2.972015
0.461493,2.983021,2.987162
0.462611,2.998317,3.003208
0.464193,3.018263,3.026902
0.464709,3.032659,3.036050
0.465510,3.044357,3.048647
0.466477,3.059353,3.063344
0.467489,3.074500,3.078640
0.468519,3.089646,3.094087
0.469562,3.105542,3.109833
0.470617,3.121739,3.126329
0.471556,3.135985,3.140126
0.472507,3.151432,3.154973
0.473575,3.166428,3.171319
0.474606,3.182025,3.186765
0.475511,3.196421,3.200562
0.476539,3.211718,3.216309
0.477533,3.227314,3.231605
0.478547,3.242461,3.246752
